Year	Month	Day	Flow (m3/s)
1993	9	14	72.12
1993	9	15	66.52
1993	9	16	62.99
1993	9	17	56.85
1993	9	18	52.49
1993	9	19	66.12
1993	9	20	174.3
1993	9	21	96.24
1993	9	22	90.96
1993	9	23	88.89
1993	9	24	79.13
1993	9	25	81.63
1993	9	26	66.27
1993	9	27	59.82
1993	9	28	57.1
1993	9	29	54.73
1993	9	30	59.03
1993	10	1	337.3
1993	10	2	421.6
1993	10	3	246.1
1993	10	4	273.9
1993	10	5	208.4
1993	10	6	250.5
1993	10	7	369.4
1993	10	8	445.4
1993	10	9	334.7
1993	10	10	292.3
1993	10	11	246
1993	10	12	205.8
1993	10	13	186.4
1993	10	14	177.2
1993	10	15	162.6
1993	10	16	150.4
1993	10	17	125.9
1993	10	18	125.1
1993	10	19	109.3
1993	10	20	113
1993	10	21	118.5
1993	10	22	107.8
1993	10	23	98.73
1993	10	24	87.84
1993	10	25	84.38
1993	10	26	74.64
1993	10	27	72.51
1993	10	28	81.23
1993	10	29	75.32
1993	10	30	68.8
1993	10	31	65.17
1993	11	1	61.79
1993	11	2	61.28
1993	11	3	60.38
1993	11	4	75.11
1993	11	5	69.26
1993	11	6	60.92
1993	11	7	62.58
1993	11	8	73.85
1993	11	9	88.1
1993	11	10	89.81
1993	11	11	78.97
1993	11	12	76.05
1993	11	13	80.76
1993	11	14	73.27
1993	11	15	69.52
1993	11	16	93.48
1993	11	17	80.78
1993	11	18	82.23
1993	11	19	81.63
1993	11	20	73.89
1993	11	21	74.35
1993	11	22	74.69
1993	11	23	67.42
1993	11	24	68.26
1993	11	25	71.11
1993	11	26	68.16
1993	11	27	66.85
1993	11	28	64.81
1993	11	29	65.91
1993	11	30	80.36
1993	12	1	105.5
1993	12	2	200.5
1993	12	3	342.4
1993	12	4	406.5
1993	12	5	320.1
1993	12	6	297.2
1993	12	7	268.4
1993	12	8	235
1993	12	9	260.7
1993	12	10	277.8
1993	12	11	248.9
1993	12	12	220
1993	12	13	221.7
1993	12	14	205.3
1993	12	15	245.6
1993	12	16	205.8
1993	12	17	202.7
1993	12	18	457.1
1993	12	19	587.3
1993	12	20	384
1993	12	21	332.9
1993	12	22	250.7
1993	12	23	245.3
1993	12	24	211.4
1993	12	25	169.4
1993	12	26	132
1993	12	27	124.5
1993	12	28	120
1993	12	29	241.8
1993	12	30	190.7
1993	12	31	178.6
